"_id","service","serviceSchedule","serviceDurationInMinutes","repeatsEveryXWeeks"
"d568d8d1-a172-4765-8db6-c56761e90d8b","d568d8d1-a172-4765-8db6-c56761e90d8b","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[{""startTime"":""09:00:00"",""endTime"":""12:00:00""}],""sat"":[],""sun"":[]}",180,1
"d7909cf5-99b1-466d-a444-14f4d9c23798","d7909cf5-99b1-466d-a444-14f4d9c23798","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"daa85e11-e2ba-4d6f-9250-7bd30e6da172","daa85e11-e2ba-4d6f-9250-7bd30e6da172","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"daab0e1a-32c5-47eb-bd1c-91a564a899cd","daab0e1a-32c5-47eb-bd1c-91a564a899cd","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"df25b6ca-5f68-456e-904d-98d8505b5f3f","df25b6ca-5f68-456e-904d-98d8505b5f3f","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[{""startTime"":""13:30:00"",""endTime"":""15:00:00""}],""sat"":[],""sun"":[]}",90,1
"e1c1f658-33c8-4534-8e45-12d3a4eae7d1","e1c1f658-33c8-4534-8e45-12d3a4eae7d1","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",180,1
"e4fc6067-3f7b-4a42-9472-a42868309e44","e4fc6067-3f7b-4a42-9472-a42868309e44","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"e867aadf-36fb-4eb7-963b-f24c1708ccec","e867aadf-36fb-4eb7-963b-f24c1708ccec","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",180,1
"e9234f11-49b5-4188-b0d2-ab36403d73cf","e9234f11-49b5-4188-b0d2-ab36403d73cf","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",180,1
"eac92e5d-fa41-4956-9764-a21890806221","eac92e5d-fa41-4956-9764-a21890806221","{""mon"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""tue"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""wed"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""thu"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""fri"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""sat"":[],""sun"":[]}",540,1
"ec9388d7-c53b-4690-af5c-c972c0f900cc","ec9388d7-c53b-4690-af5c-c972c0f900cc","{""mon"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""tue"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""wed"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""thu"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""fri"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""sat"":[],""sun"":[]}",540,1
"ef9fc00a-da2e-4cbf-b844-7e6f9178cae4","ef9fc00a-da2e-4cbf-b844-7e6f9178cae4","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"f0ed13ad-ec2e-4bf3-a4db-4e17c9b844d5","f0ed13ad-ec2e-4bf3-a4db-4e17c9b844d5","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"f10a2c72-8fe0-4b08-8ee6-bbf667686521","f10a2c72-8fe0-4b08-8ee6-bbf667686521","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",180,1
"f58086e5-f1f1-4876-8dac-24bfae7ba54a","f58086e5-f1f1-4876-8dac-24bfae7ba54a","{""mon"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""tue"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""wed"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""thu"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""fri"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""sat"":[],""sun"":[]}",540,1
"f6d3cc36-37cc-4719-aa83-47b328c0c7d2","f6d3cc36-37cc-4719-aa83-47b328c0c7d2","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",0,1
"f72b982a-d895-409a-8fbb-52a8ee70bb49","f72b982a-d895-409a-8fbb-52a8ee70bb49","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",0,1
"f9bc2cca-24b8-445c-80ac-b7a810ca8c77","f9bc2cca-24b8-445c-80ac-b7a810ca8c77","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
